token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
<pronoun>,1045,266180,104008,0.015542866645789468,0.02474647520712872,-0.4744740794206983,1.3674779477813883e-05,-128.30758361023746
woman,18999,1131,4582,6.604170928089221e-05,0.0010901887297040977,-2.8048439869363424,0.001102714967890143,-84.46505609667788
girl,7690,1944,3798,0.00011351466210614894,0.0009036527270659457,-2.0753034178443635,0.0007779962167660092,-74.40341317114964
<pronoun> be,1092,23838,13117,0.0013919560263818819,0.0031209091155671434,-0.8091471145339302,0.00011848390641091746,-74.33576369260521
vegan,18068,4538,4318,0.00026498432954614396,0.0010273755859585975,-1.3558548735891698,0.00045224662972435405,-63.756656953847
beautiful,3640,2033,2999,0.00011871157822109094,0.0007135477958058903,-1.7941474505799864,0.0008256248112330537,-62.44055641981064
love <pronoun>,10931,4673,4077,0.0002728672921924043,0.0009700347994333493,-1.2690438129648651,0.00045957020740053497,-59.19713421624308
😍,19885,3808,3600,0.0002223579389404399,0.0008565428692568206,-1.3492503000149725,0.0005406793068304308,-58.02600206582762
<pronoun> so,1368,3278,2884,0.00019141001151438077,0.0006861860097046307,-1.2772257833449494,0.0006521011352186896,-50.016143104192096
<pronoun> s,1343,5921,3823,0.00034574090243338885,0.0009096009414357848,-0.9678803966813856,0.0004307615830612779,-46.63405833546095
dave,5346,2346,2157,0.0001369883730972353,0.0005132119358297116,-1.3211690099952964,0.0008901606881501035,-44.28168851680501
cute,5225,1719,1805,0.00010037639102904836,0.0004294610775023781,-1.4539330717242418,0.001136046508815055,-43.136644527506164
! <pronoun>,16,7233,4098,0.0004223516208918597,0.000975031299504014,-0.8371843232353928,0.0003825732289520073,-42.80197402366659
chick,4681,382,1129,2.2305864673121858e-05,0.00026862136094193067,-2.488699223212386,0.0035038364846763973,-42.04365822004051
annoy,2737,1887,1811,0.00011018630009995013,0.00043088864895113945,-1.3639977445359808,0.0010824191500906097,-41.45872277611962
sexy,14686,949,1280,5.54143077874153e-05,0.0003045485757357584,-1.7042417479856908,0.0018352869964883064,-39.78132151262311
lady,10342,840,1221,4.90495453545088e-05,0.0002905107898229383,-1.779051087669277,0.002009773200546984,-39.68395003660002
get matt,7586,373,1007,2.1780333830037837e-05,0.0002395940748171162,-2.3981562451228218,0.003674309657102159,-39.56303477764913
in love,9405,608,1101,3.5502528066120657e-05,0.00026195936084771095,-1.9988117253119206,0.002553298157936552,-39.55679735286418
gorgeous,7934,153,1079,8.934024332428389e-06,0.0002567249322022526,-3.3583855827332307,0.007463025637008319,-38.87524061717432
stonie on,15635,234,971,1.3663801920184595e-05,0.000231028646124548,-2.828008600168239,0.005303665675796859,-38.83225902580816
matt stonie,11217,728,1070,4.2509605973907625e-05,0.00025458357502911055,-1.7901109867749394,0.0023085019640864137,-37.25759640316868
stonie,15634,759,1071,4.431976776675259e-05,0.00025482150360390415,-1.7493428323970353,0.0022515260330362124,-36.866884937282414
crush,5174,786,1074,4.589636029600466e-05,0.0002555352893282848,-1.7171841624685147,0.0022036594950678432,-36.58007822022291
papa bless,13064,180,836,1.0510616861680457e-05,0.00019890828852741724,-2.940646010987903,0.006752022634739193,-35.787042034364546
show get,14917,916,1107,5.348736136277388e-05,0.00026338693229647234,-1.5943885220519736,0.0019953416197201457,-35.693203540660136
😍 😍,19892,1379,1315,8.052300362365194e-05,0.00031287607585353305,-1.3574965091084472,0.0014859156960082337,-35.21613064131964
meme,11380,2332,1739,0.00013617088067466014,0.00041375779156600307,-1.1116476970914047,0.0010041559238410467,-35.080566284675584
so,15150,64671,20954,0.0037762894614540936,0.004985555356224283,-0.2790174358866917,6.348419056781705e-05,-35.01858149095716
matt,11215,1212,1220,7.077148686864841e-05,0.00029027286124814474,-1.4115845505370075,0.0016450508792119401,-34.80304388545193
? <pronoun>,1473,3154,2057,0.0001841693643430009,0.0004894190783503556,-0.9776685550301245,0.0008034989414617042,-34.490460478211205
security,14583,93,921,5.430485378534903e-06,0.00021913221738486993,-3.6978598482973073,0.011838755322543724,-33.9857943081352
queen,13654,382,773,2.2305864673121858e-05,0.00018391878831542285,-2.1098060369251233,0.003911758012091469,-33.73312225561241
this bitch,17082,646,882,3.77214360702532e-05,0.00020985300296792105,-1.7163507144861718,0.002682070573381071,-33.141406413012895
vegan wing,18079,1597,1317,9.325252848946494e-05,0.0003133519330031202,-1.2122357549264553,0.0013857717875818672,-32.56426135591556
be <pronoun>,3217,5199,2738,0.0003035816503548705,0.0006514484377847708,-0.7638955638052796,0.0005578712068841623,-32.34201055076125
bless,3937,1207,1125,7.047952528915729e-05,0.00026766964664275643,-1.3346283626643043,0.001717685530348231,-32.202420842719526
nugget,12336,646,850,3.77214360702532e-05,0.0002022392885745271,-1.6793873962971126,0.00272475431033877,-32.17267822349036
meat,11356,1696,1321,9.90333677633892e-05,0.00031430364730229444,-1.1551178656756207,0.001346921183697832,-31.47423689506143
i cant,8996,1017,995,5.9384985268494584e-05,0.00023673893191959348,-1.383093762428473,0.001988605488900838,-31.015394233675835
🌑,19676,186,611,1.0860970757069806e-05,0.00014537435919886594,-2.5942707086775982,0.007013300472992672,-30.978049486658687
i,8968,245425,68645,0.014330934129321812,0.016332607016704012,-0.13277592859010845,1.8943384891895222e-05,-30.506371572562625
avenger,3011,161,580,9.401162859614187e-06,0.00013799857338026554,-2.6865382286220107,0.007935612965885859,-30.158017275849513
<pronoun> look,1271,4066,2206,0.0002374231564421819,0.0005248704359945962,-0.7935948625227187,0.0006995474959729113,-30.004766022745223
guard,8050,201,559,1.1736855495543178e-05,0.00013300207330960075,-2.4277517646243076,0.006764328500909291,-29.518340170786967
female,6799,317,599,1.851036413973725e-05,0.0001425192163013432,-2.041269818361746,0.004824319023041598,-29.388837307427806
❤,19643,4742,2423,0.00027689636198938183,0.0005765009367247989,-0.7336332934978724,0.000623889401346208,-29.371439247767796
so beautiful,15164,135,545,7.882962646260343e-06,0.0001296710732624909,-2.8004186741155515,0.009242564288168817,-29.12907709566085
damn <pronoun>,5291,1079,963,6.300530885418452e-05,0.0002291252175261995,-1.2912156404646016,0.0019655018520481626,-29.124739481234347
billie,3830,342,596,1.997017203719287e-05,0.00014180543057696251,-1.9603377593826359,0.004602124813110711,-28.896930191627945
fine,6862,1402,1100,8.186602688931112e-05,0.0002617214322729174,-1.1623763395294997,0.0016226539021294843,-28.855846027599636
almond,2345,228,543,1.3313448024795246e-05,0.00012919521611290378,-2.272665528099891,0.006227881072797865,-28.79820170648828
s,14182,22996,8152,0.0013427896963955767,0.0019395937417171114,-0.3683269479135429,0.00016645194422176588,-28.54887888681188
adorable,2183,633,722,3.696233596357628e-05,0.00017178443100095123,-1.536475579611297,0.0029651164656543825,-28.216606638861787
animal,2732,1130,955,6.598331696499399e-05,0.00022722178892785102,-1.2366857458011715,0.001932372366075168,-28.132863950014492
<pronoun> <pronoun>,1051,1474,1105,8.60702736339833e-05,0.0002629110751468852,-1.1168284793184124,0.0015836996608694263,-28.064032080981356
