season,episode,overall,guest,female_flag,notes,result,url_status,video_id,video_url,video_title,channel_title,done,name_filter
1,1,1,Tony Yayo,0,,0,,,,,,,"tony, yayo"
1,2,2,Anthony Rizzo,0,,1,,,,,,,"anthony, rizzo"
1,3,3,Machine Gun Kelly,0,,1,,,,,,,"mgk, kelly, kell"
1,4,4,Gunplay,0,,1,,,,,,,gunplay
1,5,5,Ja Rule,0,,1,,,,,,,"ja, jarule"
1,6,6,B.o.B,0,,1,,,,,,,"bob, b.o.b."
1,7,7,Prince Amukamara,0,,1,,,,,,,"prince, amukamara"
1,8,8,DJ Khaled,0,,0,,,,,,,khaled
2,1,9,Curren$y,0,,1,,,,,,,curren$y
2,2,10,Tinashe,1,,1,,,,,,,tinashe
2,3,11,Tommy Chong,0,,1,,,,,,,"tommy, chong"
2,4,12,TJ Miller,0,,1,,,,,,,"tj, miller"
2,5,13,Coolio,0,,1,,,,,,,coolio
2,6,14,Joey Fatone,0,,1,,,,,,,"joey, fatone"
2,7,15,Michael Rapaport,0,,1,,,,,,,"michael, rapaport, mike"
2,8,16,Key & Peele,0,,1,,,,,,,"key, peele, keegan, keegan-michael, jordan, jordan peele, keegan-michael key"
2,9,17,Riff Raff,0,,1,,,,,,,"riff, raff"
2,10,18,Eddie Huang,0,first appearance,0,,,,,,,"eddie, huang"
2,11,19,Chris D'Elia,0,,1,,,,,,,"chris, d'elia"
2,12,20,Mike Epps,0,,0,,,,,,,"mike, epps"
2,13,21,Jim Gaffigan,0,,0,,,,,,,"jim, gaffigan"
2,14,22,Carly Aquilino,1,,1,,,,,,,"carly, aquilino"
2,15,23,Redman,0,,1,,,,,,,redman
2,16,24,Rob Gronkowski,0,,1,,,,,,,"rob, gronkowski, gronk"
2,17,25,Rob Corddry,0,,0,,,,,,,"rob, corddry, cordry"
2,18,26,Jeff Ross,0,,1,,,,,,,"jeff, ross"
2,19,27,David Cross,0,,1,,,,,,,"david, cross"
2,20,28,Eric Andre,0,,1,,,,,,,"eric, andre"
2,21,29,Joe Budden,0,,1,,,,,,,"joe, budden"
2,22,30,Matty Matheson,0,,1,,,,,,,"matty, matt, metheson"
2,23,31,RZA and Paul Banks,0,,1,,,,,,,"rza, paul, banks"
2,24,32,Bert Kreischer,0,,1,,,,,,,"bert, kreischer"
2,25,33,YG,0,,1,,,,,,,yg
2,26,34,Jay Pharoah,0,,1,,,,,,,"jay, pharoah"
2,27,35,Harley Morenstein,0,,1,,,,,,,"harley, morenstein"
2,28,36,Travis Kelce,0,,1,,,,,,,"travis, kelce"
2,29,37,Hasan Minhaj,0,,1,,,,,,,"hasan, minhaj"
2,30,38,Kevin Hart,0,,1,,,,,,,"kevin, hart"
2,31,39,Martin Garrix,0,,1,,,,,,,"martin, garrix"
2,32,40,Bobby Lee,0,,1,,,,,,,"bobby, lee"
2,33,41,Tony Hawk,0,,1,,,,,,,"tony, hawk"
2,34,42,Action Bronson,0,,1,,,,,,,"action, bronson"
2,35,43,T-Pain,0,,1,,,,,,,"t-pain, tpain"
2,36,44,Rachael Ray,1,,1,,,,,,,"rachael, rachel, rachael, ray"
2,37,45,Tom Colicchio,0,,1,,,,,,,"tom, colicchio, colichio"
2,38,46,Post Malone,0,,1,,,,,,,"post, malone"
2,39,47,N.O.R.E.,0,,1,,,,,,,"nore, n.o.r.e"
2,40,48,James Franco and Bryan Cranston,0,,1,,,,,,,"james, franco, bryan, cranston, brian, james franco, bryan cranston, brian cranston"
3,1,49,Padma Lakshmi,1,,1,,,,,,,"padma, lakshmi"
3,2,50,Joey CoCo Diaz,0,,1,,,,,,,"joey, coco, diaz"
3,3,51,Danny Brown,0,,1,,,,,,,"danny, brown"
3,4,52,Ricky Gervais,0,,0,,,,,,,"ricky, gervais"
3,5,53,Charlie Day,0,,1,,,,,,,"charlie, day"
3,6,54,Mac DeMarco,0,,1,,,,,,,"mac, demarco"
3,7,55,Russell Brand,0,,1,,,,,,,"russell, brand, russel"
3,8,56,Charlie Sloth,0,,1,,,,,,,"charlie, sloth"
3,9,57,Kyle Kinane,0,,1,,,,,,,"kyle, kinane"
